system,role,quantum_in_final_function,physiology_logit_weight,qml_logit_weight,n,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,auroc,auprc,brier,nll,tn,fp,fn,tp
FINAL_QML_INCLUSIVE_PROMOTED,Final metric-first QML-inclusive system; development-promoted before fused x scoring,True,0.25,0.75,17248,0.9086270871985158,0.9076848836674374,0.8621594055077955,0.9037727203299221,0.9115970470049528,0.882475764354959,0.8084026100817799,0.9675236374617686,0.9497755803318464,0.0796448443135515,0.4334665417947636,9755,946,630,5917
STAGE15A_PHYSIOLOGY_CLASSICAL,Best classical-only historical benchmark,False,1.0,0.0,17248,0.9101924860853432,0.9097468968032248,0.862699564586357,0.9078967466014969,0.9115970470049528,0.8847212919550494,0.8119540586167897,0.9696634702240798,0.9504488087058468,0.07958532557392657,0.4417678858194965,9755,946,603,5944
CANONICAL_GUIDE_QML,Canonical guide-primary QML architecture,True,0.0,1.0,17248,0.9011479591836735,0.9001158045109892,0.8514808362369338,0.8958301512142967,0.9044014578076816,0.8730926684034239,0.7929076491751258,0.9620666432037354,0.9427717592257047,0.08614292544061658,0.4876344530830599,9678,1023,682,5865
